Sogou dataset

model			uni (35m)				bi(m)		
-----------------		------------------------------		------------------------------
lr	decay		start_acc		last_acc		start_acc		last_acc
0.0005	0.95		.		0.907		.		0.934
0.0005	0.90		0.897		0.909		0.927		0.939
									
0.001	0.95		0.906		0.910		0.928		0.941
0.001	0.90		0.906		0.910				
									
0.01	0.95				0.912				
0.01	0.90				0.911				
									
0.05	0.95		0.885		0.903				
0.05	0.90		0.893		0.913				
									
0.07	0.95		0.895		0.907				
0.07	0.90		0.849		0.914				
									
0.1	0.95		0.883		0.898				
0.1	0.90		0.888		0.915 (0.916)	0.862		0.952
0.1	0.85		0.873		0.916		0.923		0.951
0.1	0.80		0.894		0.915				
									
0.15	0.95								
0.15	0.90								
									
0.3	0.95								
0.3	0.90								

